1	2	3	4	5	6	7	A	B	C	D	E	F	G	J	L	M	N	Q	R	Z	S	s	H
;1237ACENQRS	96th St;123	Nostrand Av;3	;2345	Bowling Green;45	77th St;6		80th St-Hudson St;A	;BDFMNQR	High St;AC	Fort Hamilton Parkway;D		;ACFR		;FJMZ		Marcy Av;JMZ	;DN	Av H;Q	;6JNQRZ				
34th St;123	72nd St;123	Kingston Av;3	;2345BDNQR	;2345R	68th St-Hunter College;6		88th St-Boyd Av;A	;ABCDEFM	;ACFR	50th St;D		Bergen St;FG		Bowery;JZ		Hewes St;JM	18th Av;N	Av J;Q	City Hall;R				
28th St;1	;1237ACENQRS	Utica Av;34	;2345s	;2345	;456NQR		Rockaway Blvd;A	;6BDFM	Hoyt & Schermerhorn;ACG	55th St;D		Carroll St;FG		;6JNQRZ		Lorimer St;JM	20th Av;N	Av M;Q	Cortlandt St;R				
23rd St;1	34th St;123	Sutter Av;3	Utica Av;34	;2345BDNQR	;6EM		Aqueduct Racetrack;A	Grand St;BD	Lafayette Av;C	;DN		Smith-9th St;FG		;456JZ		Flushing Av;JM	Bay Parkway-22nd Av;N	Kings Highway;BQ	Rector St;R				
18th St;1	;123FLM	Saratoga Av;3		;2345s	;4567S		Aqueduct-North Conduit Av;A	DeKalb Av;BQR	Clinton & Washington Avs;C	71st St;D		;FGR		;2345ACJZ		Myrtle Av;JMZ	Kings Highway;N	Av U;Q	;1R				
;123FLM	Chambers St;123	Rockaway Av;3		President St;25	33rd St;6		Howard Beach;A	;2345BDNQR	Franklin Av;Cs	79th St;D		7th Av;FG		Broad St;JZ		Central Av;M	Av U;N	Neck Rd;Q	;2345R				
Christopher St;1	;23ACE	Junius St;3		Sterling St;25	28th St;6		Broad Channel;AH	7th Av;BQ	Nostrand Av;AC	18th Av;D		Prospect Park-15 St;FG				Knickerbocker Av;M	86th St;N	Sheepshead Bay;BQ	;ACFR				
Houston St;1	;2345ACJZ	Pennsylvania Av;3		Winthrop St;25	23rd St;6		Beach 67th St;A	Prospect Park;BQs	Kingston-Throop;C	20th Av;D		Fort Hamilton Parkway;FG				Myrtle Av;LM	;DFNQ	Brighton Beach;BQ	DeKalb Av;BQR				
Canal St;1	Wall St;23	Van Siclen Av;3		Church Av;25	;456LNQR		Beach 60th St;A	Church Av;BQ	Utica Av;AC	Bay Parkway;D		Church Av;FG				Seneca Av;M		Ocean Parkway;Q	;2345BDNQR				
Franklin St;1	Clark St;23	New Lots Av;3		Beverly Rd;25	Astor Place;6		Beach 44th St;A	Newkirk Av;BQ	Ralph Av;C	25th Av;D		Ditmas Av;F				Forest Av;M		West 8th St;FQ	Union St;R				
Chambers St;123	;2345R			Newkirk Av;25	;6BDFM		Beach 36th St;A	Kings Highway;BQ	Rockaway Av;C	Bay 50th St;D		18th Av;F				Fresh Pond Rd;M		;DFNQ	;FGR				
Rector St;1	Hoyt St;23			Flatbush Av-Brooklyn College;25	Spring St;6		Beach 25th St;A	Sheepshead Bay;BQ	;ACJLZ	;DFNQ		Av I;F				Metropolitan Av;M			Prospect Av;R				
;1R	;2345				;6JNQRZ		Far Rockaway-Mott Av;A	Brighton Beach;BQ	Liberty Av;C			Bay Parkway-22nd Av;F							25th St;R				
	;2345BDNQR				;456JZ				Van Siclen Av;C			Av N;F							36th St;DNR				
	Bergen St;23								Shepherd Av;C			Av P;F							45th St;R				
	Grand Army Plaza;23								Euclid Av;AC			Kings Highway;F							53rd St;R				
	Eastern Parkway-Brooklyn Museum;23											Av U;F							59th St;NR				
	;2345s											Av X;F							Bay Ridge Av;R				
	President St;25											Neptune Av-Van Siclen;F							77th St;R				
	Sterling St;25											West 8th St;FQ							86th St;R				
	Winthrop St;25											;DFNQ							95th St;R				
	Church Av;25																						
	Beverly Rd;25																						
	Newkirk Av;25																						
	Flatbush Av-Brooklyn College;25																						
